id,lineage,sequence_length
"""ON296383""","""BA.2.31""",59696
"""ON251309""","""BA.2.31""",59700
"""ON111549""","""BA.2.31""",59688
"""ON251902""","""BA.2.31""",59630
"""ON621398""","""BA.2.31""",59660
"""ON362659""","""BA.2.31""",59710
"""ON854316""","""BA.2.31""",59654
"""ON151149""","""BA.2.31""",59712
"""OP047013""","""BA.2.31""",59626
"""ON499366""","""BA.2.31""",59586
"""ON952206""","""BA.2.31""",59806
"""ON402011""","""BA.2.31""",59806
"""ON618029""","""BA.2.31""",59794
"""ON528486""","""BA.2.31""",59794
"""OW186955""","""BA.2.31""",59794
"""ON421437""","""BA.2.31""",59794
"""ON633444""","""BA.2.31""",59794
"""ON736053""","""BA.2.31""",59794
"""ON739149""","""BA.2.31""",59794
"""ON652737""","""BA.2.31""",59794
"""ON872013""","""BA.2.31""",59794
"""ON873005""","""BA.2.31""",59794
"""ON421406""","""BA.2.31""",59794
"""ON872092""","""BA.2.31""",59794
"""OX061857""","""BA.2.31""",59794
"""ON296307""","""BA.2.31""",59794
"""OW849642""","""BA.2.31""",59794
"""ON232793""","""BA.2.31""",59748
"""OX139493""","""BA.2.31""",59606
"""OW148973""","""BA.2.31""",59564
"""ON632851""","""BA.2.31""",59564
"""ON591130""","""BA.2.31""",59564
"""ON652736""","""BA.2.31""",59564
"""ON253739""","""BA.2.31""",59646
"""ON684448""","""BA.2.31""",59646
"""ON463664""","""BA.2.31""",59626
"""ON678780""","""BA.2.31""",59690
"""ON481913""","""BA.2.31""",59698
"""OW457801""","""BA.2.31""",59630
"""ON668716""","""BA.2.31""",59700
"""ON801142""","""BA.2.31""",59804
"""ON965746""","""BA.2.31""",59704
"""ON392508""","""BA.2.31""",59646
"""ON423484""","""BA.2.31""",59702
"""ON824387""","""BA.2.31""",59706
"""ON309497""","""BA.2.31""",59638
"""OX215353""","""BA.2.31""",59636
"""ON652751""","""BA.2.31""",59708
"""ON801329""","""BA.2.31""",59638
"""ON330534""","""BA.2.31""",59046
"""ON423526""","""BA.2.31""",59694
"""ON251273""","""BA.2.31""",59638
"""ON503910""","""BA.2.31""",59628
"""ON321921""","""BA.2.31""",59680
"""ON540968""","""BA.2.31""",59702
"""ON481985""","""BA.2.31""",59642
"""OX145638""","""BA.2.31""",59636
"""OW855083""","""BA.2.31""",59722
"""OW147017""","""BA.2.31""",59680
"""ON602205""","""BA.2.31""",59156
"""ON466320""","""BA.2.31""",59564
"""ON735028""","""BA.2.31""",59604
"""ON234075""","""BA.2.31""",59700
"""ON080247""","""BA.2.31""",59684
"""OW213651""","""BA.2.31""",59626
"""ON493507""","""BA.2.31""",59708
"""ON230247""","""BA.2.31""",59606
"""OW486499""","""BA.2.31""",59596
"""ON762553""","""BA.2.31""",59700
"""ON490409""","""BA.2.31""",59746
"""ON347566""","""BA.2.31""",59514
"""ON151603""","""BA.2.31""",59632
"""OW212000""","""BA.2.31""",59716
"""OW072759""","""BA.2.31""",59630
"""OW164901""","""BA.2.31""",59632
"""OW807779""","""BA.2.31""",59684
"""OX200756""","""BA.2.31""",59690
"""ON338011""","""BA.2.31""",59698
"""ON682496""","""BA.2.31""",59608
"""ON925370""","""BA.2.31""",59694
"""ON594039""","""BA.2.31""",59648
"""ON772321""","""BA.2.31""",59726
"""OW550981""","""BA.2.31""",59688
"""ON309780""","""BA.2.31""",59690
"""ON144204""","""BA.2.31""",59706
"""OX227452""","""BA.2.31""",59544
"""ON652738""","""BA.2.31""",59696
"""OX211669""","""BA.2.31""",59692
"""ON801655""","""BA.2.31""",59682
"""ON305107""","""BA.2.31""",59694
"""ON424987""","""BA.2.31""",59624
"""ON478516""","""BA.2.31""",59700
"""ON744958""","""BA.2.31""",59592
"""ON496050""","""BA.2.31""",59604
"""ON634876""","""BA.2.31""",59630
"""OX061754""","""BA.2.31""",59702
"""ON716639""","""BA.2.31""",59700
"""ON520921""","""BA.2.31""",59700
"""OW632700""","""BA.2.31""",59722
"""ON632437""","""BA.2.31""",59696
"""ON811151""","""BA.2.31""",59700
"""OW193814""","""BA.2.31""",59692
"""OX199907""","""BA.2.31""",59688
"""ON552706""","""BA.2.31""",59702
"""ON421413""","""BA.2.31""",59688
"""OW823736""","""BA.2.31""",59694
"""ON251301""","""BA.2.31""",59764
"""OW579435""","""BA.2.31""",59732
"""ON270758""","""BA.2.31""",59732
"""ON712746""","""BA.2.31""",59726
"""OW454555""","""BA.2.31""",59738
"""ON769204""","""BA.2.31""",59730
"""OX223410""","""BA.2.31""",59736
"""ON611062""","""BA.2.31""",59730
"""ON622639""","""BA.2.31""",59730
"""OW807345""","""BA.2.31""",59734
"""OX034077""","""BA.2.31""",59730
"""ON924049""","""BA.2.31""",59806
"""ON618203""","""BA.2.31""",59794
"""ON466300""","""BA.2.31""",59732
"""ON979887""","""BA.2.31""",59778
"""OX209828""","""BA.2.31""",59624
"""OW866443""","""BA.2.31""",59306
"""ON467693""","""BA.2.31""",59306
"""OX199878""","""BA.2.31""",59606
"""ON602128""","""BA.2.31""",59700
"""ON680258""","""BA.2.31""",58066
"""ON626009""","""BA.2.31""",59418
"""ON652726""","""BA.2.31""",59424
"""ON739397""","""BA.2.31""",59004
