Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AD.2,1.0,1.0,1.0,1.0,AD,"(0.7350228985632719, 0.5952719904750953, 0.1944419133847522)"
AY.48,0.8387,0.8387096774193549,0.8548387096774194,0.8870967741935484,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.124,0.72,0.9,0.8,0.84,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.5,0.8113,0.9772727272727272,0.8301886792452831,0.8679245283018868,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.111,0.9149,0.9555555555555556,0.9361702127659576,0.9574468085106383,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.16,0.7021,0.7333333333333333,0.8723404255319149,0.9148936170212766,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.34,0.7234,0.85,0.8085106382978723,0.8723404255319149,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.2,0.3966,0.8846153846153846,0.8793103448275862,0.8793103448275862,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.47,0.7581,0.8867924528301887,0.8870967741935484,0.9193548387096774,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.43.4,0.9375,0.9574468085106383,0.9375,0.9375,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.120,0.913,0.9545454545454546,0.9130434782608696,0.9130434782608696,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.110,0.7447,0.7777777777777778,0.7659574468085106,0.7872340425531915,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.99.2,0.8824,0.8333333333333334,0.9019607843137256,0.9411764705882352,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.9,0.8909,0.875,0.9090909090909092,0.9090909090909092,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.3.1,0.7609,0.7291666666666666,0.8478260869565217,0.8695652173913043,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.125,0.82,0.8367346938775511,0.94,0.96,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.64,0.8605,0.7254901960784313,0.9069767441860463,0.9302325581395348,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.35,0.7818,0.8431372549019608,0.9090909090909092,0.9090909090909092,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.37,0.75,0.9090909090909092,0.9,0.925,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.9,0.9574,0.8823529411764706,0.9787234042553192,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.36,0.8636,0.9743589743589745,0.9545454545454546,0.9545454545454546,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.3,0.9138,0.9636363636363636,0.9482758620689656,0.9482758620689656,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.41,0.8409,0.902439024390244,0.8636363636363636,0.8636363636363636,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.54,0.6,0.8780487804878049,0.85,0.8833333333333333,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.98,0.9434,0.9803921568627452,0.9433962264150944,0.9622641509433962,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.13,0.8367,0.4408602150537634,0.9591836734693876,0.979591836734694,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.5,0.7778,0.660377358490566,0.8888888888888888,0.9111111111111112,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.15,1.0,1.0,1.0,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.62,0.8519,0.8363636363636363,0.8888888888888888,0.9629629629629628,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.8,1.0,0.9347826086956522,1.0,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.6,0.9388,1.0,0.9591836734693876,0.9591836734693876,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.126,0.9318,0.5857142857142857,0.9545454545454546,0.9772727272727272,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.43.6,1.0,1.0,1.0,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.8,0.9825,0.9333333333333332,0.9824561403508772,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.2.1,0.8929,0.9615384615384616,0.9107142857142856,0.9107142857142856,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.39.1.1,0.9574,0.8823529411764706,0.9574468085106383,0.9787234042553192,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.2.2,0.9149,0.581081081081081,0.9574468085106383,0.9787234042553192,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.7,1.0,1.0,1.0,1.0,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.46.5,0.9423,1.0,0.9615384615384616,0.9807692307692308,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.7.1,0.9074,0.9423076923076924,0.9074074074074074,0.925925925925926,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.90,0.9492,0.9491525423728814,0.9661016949152542,0.9661016949152542,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.6,0.9808,0.9622641509433962,0.9807692307692308,0.9807692307692308,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
AY.4.10,0.9556,1.0,0.9555555555555556,0.9555555555555556,AY,"(0.903599057664843, 0.511987276335809, 0.19588350060161624)"
