Lineage,accuracy,precision,top3acc,top5acc,first_part,color
A.1,0.44,0.6285714285714286,0.5,0.5,A,"(0.6280838378584804, 0.6317149736053096, 0.19371846323785552)"
AD.2,0.9762,1.0,0.9761904761904762,0.9761904761904762,AD,"(0.20730980534421067, 0.6820252887361699, 0.5931178995944008)"
AY.90,0.9211,0.945945945945946,0.9736842105263158,0.9736842105263158,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.2.2,0.5532,0.7027027027027027,0.9148936170212766,0.9361702127659576,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.117,0.2188,0.1944444444444444,0.546875,0.65625,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.4.15,1.0,0.8775510204081632,1.0,1.0,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.33,0.5435,0.3164556962025316,0.7608695652173914,0.782608695652174,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.46.5,0.9412,0.6956521739130435,0.9411764705882352,0.9411764705882352,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.98.1,0.5116,0.9166666666666666,0.7674418604651163,0.813953488372093,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.64,0.6042,0.2929292929292929,0.7708333333333334,0.8333333333333334,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.98,0.8679,0.9387755102040816,0.8679245283018868,0.8867924528301887,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.124,0.5682,0.925925925925926,0.6136363636363636,0.6136363636363636,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.126,0.5102,0.925925925925926,0.6122448979591837,0.7959183673469388,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.113,0.1702,0.4705882352941176,0.6595744680851063,0.7659574468085106,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.1,0.3333,0.5666666666666667,0.5686274509803921,0.6470588235294118,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.127,0.3913,0.9473684210526316,0.391304347826087,0.391304347826087,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.8,0.9828,0.75,1.0,1.0,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.3.1,0.5965,0.2764227642276423,0.7017543859649122,0.8070175438596491,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
AY.119.2,0.4667,0.2763157894736842,0.6888888888888889,0.7333333333333333,AY,"(0.9218528551477547, 0.500345433264, 0.19606247053399534)"
