Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.107,0.5106,0.9230769230769232,0.6595744680851063,0.7446808510638298,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.5,0.8846,0.71875,0.8846153846153846,0.8846153846153846,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.129,0.3137,0.8888888888888888,0.7647058823529411,0.8823529411764706,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.46,0.6275,0.9696969696969696,0.7450980392156863,0.803921568627451,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.127,0.6042,0.6041666666666666,0.8125,0.8958333333333334,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.23,0.6596,0.7560975609756098,0.851063829787234,0.8936170212765957,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.44,0.617,0.8285714285714286,0.7446808510638298,0.8085106382978723,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.20,0.5319,0.7142857142857143,0.6595744680851063,0.723404255319149,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.48,0.9333,0.9333333333333332,0.95,0.95,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.118,0.5088,0.5686274509803921,0.7017543859649122,0.7719298245614035,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.114,0.575,0.3285714285714285,0.775,0.775,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.112,0.7045,0.3333333333333333,0.7727272727272727,0.8863636363636364,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.39.1,0.7073,0.3295454545454545,0.7804878048780488,0.8292682926829268,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.1,0.7895,0.6818181818181818,0.8771929824561403,0.912280701754386,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.3.1,0.7045,0.8611111111111112,0.9090909090909092,0.9090909090909092,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.34.1,0.7551,0.8809523809523809,0.8775510204081632,0.8775510204081632,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.8,1.0,0.9814814814814816,1.0,1.0,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
AY.46.6,0.6531,1.0,0.8163265306122449,0.8367346938775511,AY,"(0.6804189127793346, 0.6151497514677574, 0.19405452111445337)"
B.1.429,0.814,0.9210526315789472,0.8837209302325582,0.9069767441860463,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.1.37,0.9474,1.0,0.9649122807017544,0.9649122807017544,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.427,0.85,0.85,0.85,0.8666666666666667,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.1.318,0.9344,0.95,0.9508196721311476,0.9508196721311476,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.258,0.8889,0.9523809523809524,0.9111111111111112,0.9555555555555556,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.160,0.8333,0.8653846153846154,0.8518518518518519,0.9074074074074074,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.177.45,0.9804,1.0,1.0,1.0,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.400,0.6852,0.7551020408163265,0.8518518518518519,0.8518518518518519,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.234,0.8605,0.6727272727272727,0.8837209302325582,0.8837209302325582,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.1.529,0.4857,0.6071428571428571,0.6857142857142857,0.7142857142857143,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
B.1.1.39,0.84,0.9130434782608696,0.84,0.88,B,"(0.2197995660828324, 0.6625157876850336, 0.7732093159317209)"
BA.1,0.5556,0.6097560975609756,0.7777777777777778,0.9111111111111112,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.36,0.64,0.8,0.86,0.9,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.1.18,0.549,0.4666666666666667,0.7254901960784313,0.7843137254901961,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.18,0.8421,0.5714285714285714,0.8771929824561403,0.912280701754386,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.15.1,0.7872,1.0,0.8085106382978723,0.8297872340425532,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.10.1,0.7872,0.74,0.9574468085106383,0.9787234042553192,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.5.1.1,0.6889,0.4025974025974026,0.8222222222222222,0.9333333333333332,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.1,0.6182,0.4722222222222222,0.7454545454545455,0.8363636363636363,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.3.17,0.4259,0.6571428571428571,0.7407407407407407,0.8333333333333334,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.10,0.9016,0.9821428571428572,0.9016393442622952,0.918032786885246,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.5,0.7021,0.5076923076923077,0.7872340425531915,0.8936170212765957,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.5.1,0.1364,0.75,0.7954545454545454,0.9545454545454546,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.14,0.6667,0.75,0.7962962962962963,0.8518518518518519,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.14,0.9149,0.7962962962962963,0.9574468085106383,0.9574468085106383,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.1.12,0.9434,0.9803921568627452,0.981132075471698,1.0,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.19,0.7593,0.5774647887323944,0.9074074074074074,0.9444444444444444,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.2.7,0.5122,0.6176470588235294,0.7073170731707317,0.7560975609756098,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.4.1,0.9167,0.88,0.9166666666666666,0.9583333333333334,BA,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
