Lineage,accuracy,precision,top3acc,top5acc,first_part,color
A.1,0.74,0.7872340425531915,0.86,0.9,A,"(0.9587050080494409, 0.3662259565791742, 0.9231469575614251)"
AY.25,0.3966,0.23,0.7586206896551724,0.9310344827586208,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.25.3,0.439,0.2093023255813953,0.6585365853658537,0.8536585365853658,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.98,0.8776,0.4673913043478261,0.979591836734694,0.979591836734694,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.4.2.3,0.3111,0.4242424242424242,0.7111111111111111,0.8444444444444444,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.36,0.3,0.9375,0.64,0.74,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.35,0.4615,0.631578947368421,0.5384615384615384,0.7884615384615384,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.8,0.9444,1.0,0.9814814814814816,1.0,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.113,0.1961,0.2,0.7450980392156863,0.9019607843137256,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.98.1,0.359,0.1842105263157894,0.8974358974358975,0.9487179487179488,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.75,0.1875,0.6428571428571429,0.3125,0.7708333333333334,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.23,0.22,0.6875,0.38,0.52,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.4.10,0.9836,1.0,0.9836065573770492,0.9836065573770492,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
AY.1,0.1915,0.4285714285714285,0.3829787234042553,0.6382978723404256,AY,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
B.1.1.37,0.913,1.0,1.0,1.0,B,"(0.21662978923073606, 0.6676586160122123, 0.7318695594345369)"
B.1.621,0.8605,0.902439024390244,0.9069767441860463,0.9302325581395348,B,"(0.21662978923073606, 0.6676586160122123, 0.7318695594345369)"
B.1.177.57,0.9592,0.9215686274509804,0.979591836734694,0.979591836734694,B,"(0.21662978923073606, 0.6676586160122123, 0.7318695594345369)"
BA.2.12.1,0.8333,0.4411764705882353,0.9629629629629628,0.9814814814814816,BA,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
BA.4,0.9322,0.9166666666666666,0.9491525423728814,0.9491525423728814,BA,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
BA.2.7,0.4286,0.75,0.9523809523809524,0.9523809523809524,BA,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
BA.1.1.18,0.8947,0.8292682926829268,0.9473684210526316,0.9473684210526316,BA,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
BA.2.65,0.2609,0.3333333333333333,0.8260869565217391,0.9130434782608696,BA,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
BF.5,0.8889,1.0,0.8888888888888888,0.8888888888888888,BF,"(0.20433460114757862, 0.6863857739476534, 0.5407103379425205)"
P.1.17,0.8462,0.9361702127659576,0.8653846153846154,0.8653846153846154,P,"(0.5049017849530067, 0.5909119231215284, 0.9584657252128558)"
Q.3,0.8333,0.925925925925926,0.8666666666666667,0.9,Q,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
