Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.1,0.3404,0.551724138,0.510638298,0.595744681,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.3.1,0.4286,0.182926829,0.714285714,0.742857143,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.100,0.28,0.202898551,0.52,0.7,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.39,0.0526,0.1,0.350877193,0.578947368,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.8,0.9792,0.886792453,1.0,1.0,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.34.1,0.6,0.310344828,0.644444444,0.777777778,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.114,0.25,0.2,0.516666667,0.683333333,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.47,0.3922,0.4,0.705882353,0.803921569,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.99.2,0.8049,0.868421053,0.829268293,0.829268293,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.116.1,0.3269,0.386363636,0.5,0.634615385,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.37,0.5088,0.69047619,0.701754386,0.789473684,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.122,0.4,0.43902439,0.533333333,0.6,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.4.2.3,0.6667,0.8,0.740740741,0.833333333,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.20,0.1569,0.266666667,0.37254902,0.568627451,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.125,0.5957,0.595744681,0.829787234,0.872340426,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.5.3,0.125,0.6,0.5,0.583333333,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.6,0.8571,0.933333333,0.87755102,0.87755102,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.103,0.1852,0.128205128,0.407407407,0.574074074,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
AY.9,0.8667,0.75,0.955555556,0.955555556,AY,"(0.5105309046900421, 0.6614299289084904, 0.1930849118538962)"
B.1.526,0.8421,0.905660377,0.894736842,0.894736842,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.400,0.5854,0.48,0.756097561,0.853658537,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.177,0.8409,0.860465116,0.909090909,0.909090909,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.258,0.6333,0.88372093,0.716666667,0.8,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.221,0.4884,0.777777778,0.744186047,0.906976744,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B,0.68,0.62962963,0.72,0.84,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.177.57,0.9444,0.796875,0.962962963,0.962962963,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.1.39,0.7872,0.770833333,0.872340426,0.914893617,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.311,0.5741,0.516666667,0.703703704,0.796296296,B,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
BA.1.10,0.8545,0.770491803,0.909090909,0.909090909,BA,"(0.7757319041862729, 0.5784925270759935, 0.19475566538551875)"
